arabic_text,translation,transliteration,etymology
ءَأَتَّخِذُ,Should I take,a-attakhidhu,
ءَأَرْبَابٌۭ,Are lords,a-arbābun,
ءَأَسْجُدُ,Shall I prostrate,a-asjudu,
ءَأَسْلَمْتُمْ ۚ,Have you submitted yourselves,a-aslamtum,
ءَأَشْفَقْتُمْ,Are you afraid,a-ashfaqtum,
ءَأَشْكُرُ,whether I am grateful,a-ashkuru,
ءَأَـٰلِهَتُنَا,Are our gods,aālihatunā,
ءَأَقْرَرْتُمْ,Do you affirm,a-aqrartum,
ءَأَلِدُ,Shall I bear a child,a-alidu,
ءَأَمِنتُم,Do you feel secure,a-amintum,
ءَأَنتَ,Did you,a-anta,
ءَأَنتَ,Have you,a-anta,
ءَأَنتُمْ,Are you,a-antum,
ءَأَنتُمْ,Did you,a-antum,
ءَأَنتُمْ,Is it you,a-antum,
ءَأَنتُمْ,Is it you (who),a-antum,
ءَأَنذَرْتَهُمْ,whether you warn them,a-andhartahum,
ءَابَآءَكُمْ,your forefathers,ābāakum,
ءَابَآءَكُمْ,your fathers,ābāakum,
ءَابَآءَكُمْ ۖ,your forefathers,ābāakum,
ءَابَآءَنَا,our forefathers,ābāanā,
ءَابَآءَنَآ ۗ,our forefathers (following),ābāanā,
ءَابَآءَنَآ ۚ,our forefathers,ābāanā,
ءَابَآءَهُمُ,(to) their forefathers,ābāahumu,
ءَابَآءَهُمْ,their fathers ,ābāahum,
ءَابَآءَهُمْ,their fathers,ābāahum,
ءَابَآءِ,fathers,ābāi,
ءَابَآءِىٓ,(of) my forefathers,ābāī,
ءَابَآؤُكُم,your fathers,ābāukum,
ءَابَآؤُكُمْ,Your parents,ābāukum,
ءَابَآؤُكُمْ,your fathers,ābāukum,
ءَابَآؤُكُمْ,your forefathers,ābāukum,
ءَابَآؤُكُمْ ۖ,your forefathers,ābāukum,
ءَابَآؤُنَا,our forefathers,ābāunā,
ءَابَآؤُنَا,(by) our forefathers,ābāunā,
ءَابَآؤُنَا,our forefathers worshipped,ābāunā,
ءَابَآؤُنَا ۖ,our forefathers,ābāunā,
ءَابَآؤُنَآ,our forefathers,ābāunā,
ءَابَآؤُهُم,their forefathers,ābāuhum,
ءَابَآؤُهُمْ,their forefathers,ābāuhum,
ءَابَآئِكَ,(of) your forefathers,ābāika,
ءَابَآئِكُمُ,(of) your forefathers,ābāikumu,
ءَابَآئِكُمُ,(of) your fathers,ābāikumu,
ءَابَآئِكُمْ,(of) your fathers,ābāikum,
ءَابَآئِنَا,our forefathers,ābāinā,
ءَابَآئِهِمْ,their fathers,ābāihim,
ءَابَآئِهِنَّ,their fathers,ābāihinna,
ءَاتَتْ,brought forth,ātat,
ءَاتَوا۟,they give,ātaw,
ءَاتَوْهُ,they had given him,ātawhu,
ءَاتَىٰكَ,Allah has given you,ātāka,
ءَاتَىٰكُم,He has given you,ātākum,
ءَاتَىٰكُمُ,gives you,ātākumu,
ءَاتَىٰكُمْ ۖ,He (has) given you,ātākum,
ءَاتَىٰكُمْ ۗ,He has given you,ātākum,
ءَاتَىٰكُمْ ۚ,He has given you,ātākum,
ءَاتَىٰنَا,He gives us,ātānā,
ءَاتَىٰنِىَ,He gave me,ātāniya,
ءَاتَىٰنِۦَ,Allah has given me,ātāniya,
ءَاتَىٰهَا ۚ,He has given it,ātāhā,
ءَاتَىٰهُ,gave him,ātāhu,
ءَاتَىٰهُ,he has been given,ātāhu,
ءَاتَىٰهُم,He gave them,ātāhum,
ءَاتَىٰهُمَا,He gives them,ātāhumā,
ءَاتَىٰهُمَا ۚ,He has given them,ātāhumā,
